[06Jun2025 07:07:11.543] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--launchTarget, forgeserver, --fml.forgeVersion, 47.4.1, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412, nogui]
[06Jun2025 07:07:11.546] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.15 by Ubuntu; OS Linux arch amd64 version 6.8.0-1027-azure
[06Jun2025 07:07:14.703] [main/INFO] [net.minecraftforge.fml.loading.ImmediateWindowHandler/]: ImmediateWindowProvider not loading because launch target is forgeserver
[06Jun2025 07:07:14.755] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/workspaces/weanonsv/servidor_minecraft/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%2365!/ Service=ModLauncher Env=SERVER
[06Jun2025 07:07:15.099] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Locator {mods folder locator at /workspaces/weanonsv/servidor_minecraft/mods} returned 1 files which are client-side-only mods, but we're on a dedicated server. They will be skipped!
[06Jun2025 07:07:15.209] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /workspaces/weanonsv/servidor_minecraft/libraries/net/minecraftforge/fmlcore/1.20.1-47.4.1/fmlcore-1.20.1-47.4.1.jar is missing mods.toml file
[06Jun2025 07:07:15.210] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /workspaces/weanonsv/servidor_minecraft/libraries/net/minecraftforge/javafmllanguage/1.20.1-47.4.1/javafmllanguage-1.20.1-47.4.1.jar is missing mods.toml file
[06Jun2025 07:07:15.211] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /workspaces/weanonsv/servidor_minecraft/libraries/net/minecraftforge/lowcodelanguage/1.20.1-47.4.1/lowcodelanguage-1.20.1-47.4.1.jar is missing mods.toml file
[06Jun2025 07:07:15.212] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /workspaces/weanonsv/servidor_minecraft/libraries/net/minecraftforge/mclanguage/1.20.1-47.4.1/mclanguage-1.20.1-47.4.1.jar is missing mods.toml file
[06Jun2025 07:07:15.622] [main/WARN] [net.minecraftforge.jarjar.selection.JarSelector/]: Attempted to select two dependency jars from JarJar which have the same identification: Mod File:  and Mod File: . Using Mod File: 
[06Jun2025 07:07:15.623] [main/WARN] [net.minecraftforge.jarjar.selection.JarSelector/]: Attempted to select a dependency jar for JarJar which was passed in as source: geckolib. Using Mod File: /workspaces/weanonsv/servidor_minecraft/mods/geckolib-forge-1.20.1-4.7.1.2.jar
[06Jun2025 07:07:15.624] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator/]: Found 19 dependencies adding them to mods collection
[06Jun2025 07:07:19.152] [main/INFO] [mixin/]: Compatibility level set to JAVA_17
[06Jun2025 07:07:19.267] [main/ERROR] [mixin/]: Mixin config celestisynth.mixins.json does not specify "minVersion" property
[06Jun2025 07:07:19.505] [main/INFO] [mixin/]: Successfully loaded Mixin Connector [com.sonicether.soundphysics.MixinConnector]
[06Jun2025 07:07:19.506] [main/INFO] [mixin/]: Successfully loaded Mixin Connector [com.robertx22.mmorpg.MixinConnector]
[06Jun2025 07:07:19.507] [main/INFO] [mixin/]: Successfully loaded Mixin Connector [ca.spottedleaf.starlight.mixin.MixinConnector]
[06Jun2025 07:07:19.508] [main/INFO] [mixin/]: Successfully loaded Mixin Connector [com.robertx22.library_of_exile.MixinConnector]
[06Jun2025 07:07:19.515] [main/INFO] [cpw.mods.modlauncher.LaunchServiceHandler/MODLAUNCHER]: Launching target 'forgeserver' with arguments [nogui]
[06Jun2025 07:07:19.547] [main/WARN] [mixin/]: Reference map 'cookingforblockheads.refmap.json' for cookingforblockheads.mixins.json could not be read. If this is a development environment you can ignore this message
[06Jun2025 07:07:19.650] [main/INFO] [ModernFix/]: Loaded configuration file for ModernFix 5.23.1+mc1.20.1: 95 options available, 0 override(s) found
[06Jun2025 07:07:19.651] [main/INFO] [ModernFix/]: Applying Nashorn fix
[06Jun2025 07:07:19.674] [main/INFO] [ModernFix/]: Applied Forge config corruption patch
[06Jun2025 07:07:19.803] [main/INFO] [Embeddium/]: Loaded configuration file for Embeddium: 173 options available, 0 override(s) found
[06Jun2025 07:07:19.906] [main/WARN] [mixin/]: Reference map 'untamedwilds.refmap.json' for mixins.untamedwilds.json could not be read. If this is a development environment you can ignore this message
[06Jun2025 07:07:19.932] [main/WARN] [mixin/]: Reference map 'puzzlesaccessapi.common.refmap.json' for puzzlesaccessapi.common.mixins.json could not be read. If this is a development environment you can ignore this message
[06Jun2025 07:07:19.941] [main/WARN] [mixin/]: Reference map 'mixins.sons_of_sins.refmap.json' for mixins.sons_of_sins.json could not be read. If this is a development environment you can ignore this message
[06Jun2025 07:07:20.020] [main/WARN] [mixin/]: Reference map 'coroutil.refmap.json' for coroutil.mixins.json could not be read. If this is a development environment you can ignore this message
[06Jun2025 07:07:20.094] [main/INFO] [Puzzles Lib/]: Loading 127 mods:
	- alexsmobs 1.22.9
	- alltheleaks 0.1.4-beta+1.20.1-forge
		\-- mixinsquared 0.2.0
	- amendments 1.20-1.2.19
	- apotheosis 7.4.8
	- architectury 9.2.14
	- ars_nouveau 4.12.6
	- artifacts 9.5.16
		\-- expandability 9.0.4
	- attributefix 21.0.4
	- attributeslib 1.3.7
	- balm 7.3.31
		\-- kuma_api 20.1.10
	- biomeswevegone 1.5.11
	- blockui 1.20.1-1.0.190-snapshot
	- bloodnparticles_mod 1.3.8
	- born_in_chaos_v1 1.7
	- bosses_of_mass_destruction 1.1.1
	- burnt 1.9.0.3
	- byzantine 33
	- caelus 3.2.0+1.20.1
	- carryon 2.1.2.7
	- celestisynth 1.20.1-1.3.1
	- cerbons_api 1.0.0
	- citadel 2.6.1
	- cleanswing 1.8
	- cloth_config 11.1.136
	- cookingforblockheads 16.0.13
	- corgilib 4.0.3.3
	- coroutil 1.20.1-1.3.7
	- corpse 1.20.1-1.0.20
	- creeperoverhaul 3.0.2
		\-- resourcefullib 2.1.20
	- cupboard 1.20.1-2.7
	- curios 5.14.1+1.20.1
	- darkmodeeverywhere 1.20.1-1.2.4
	- dataanchor 1.0.0.19
	- domum_ornamentum 1.20.1-1.0.186-RELEASE
	- dungeon_realm 1.0.4
	- dusk 1.20.1-3.7
	- dynamiclights 1.20.1.2
	- dynamictrees 1.20.1-1.4.4
	- embeddium 0.3.31+mc1.20.1
		\-- rubidium 0.7.1
	- endrem 5.3.3-R-1.20.1
	- enemyexpansion 2.3.1
	- enhancedcelestials 1.20.1-5.0.3.1
	- explosiveenhancement 1.1.0
	- exposure 1.7.15
	- fallingleaves 2.1.2
	- farmersdelight 1.20.1-1.2.8
	- ferritecore 6.0.1
	- forge 47.4.1
	- framedblocks 9.4.1
	- geckolib 4.7.1.2
	- genshinstrument 5.0
	- glitchcore 0.0.1.1
	- hexerei 1.20.1-0.4.2.3
	- iceandfire 2.1.13-1.20.1
	- iceberg 1.1.25
	- immediatelyfast 1.5.0+1.20.4
	- immersive_armors 1.7.0+1.20.1
	- inventoryprofilesnext 1.10.14
	- irons_spellbooks 1.20.1-3.4.0.9
	- jade 11.13.1+forge
	- jei 15.20.0.106
	- jet_and_elias_armors 1.0.0
	- justzoom 2.1.1
	- konkrete 1.8.0
	- kotlinforforge 4.11.0
	- libipn 4.0.2
	- library_of_exile 2.0.7
	- lionfishapi 2.4-Fix
	- littlejoys 20.1.8
	- lootr 0.7.35.91
	- map_atlases 1.20-6.0.16
	- minecolonies 1.20.1-1.1.873-alpha
	- minecraft 1.20.1
	- mmorpg 6.2.5
	- mna 3.1.0.8
	- modernfix 5.23.1+mc1.20.1
	- moonlight 1.20-2.14.1
	- mowziesmobs 1.7.3
	- multipiston 1.20-1.2.43-RELEASE
	- naturalist 5.0pre2
		\-- midnightlib 1.4.2
	- necronomicon 1.6.0
	- notenoughcrashes 4.4.9+1.20.1
	- nyfsspiders 2.1.1
	- octolib 0.5.0.1
	- ohthetreesyoullgrow 1.3.13
	- patchouli 1.20.1-84.1-FORGE
	- pingwheel 1.10.2
	- placebo 8.6.3
	- playeranimator 1.0.2-rc1+1.20
	- prism 1.0.5
	- projectile_damage 3.2.2+1.20.1
	- puzzleslib 8.1.32
		\-- puzzlesaccessapi 20.1.1
	- realisticforgingores 4.1.6
	- realistictorches 1.20.1-3.2.0
	- repurposed_structures 7.1.17+1.20.1-forge
		\-- mixinextras 0.4.1
	- resourcefulconfig 2.1.3
	- sereneseasons 9.1.0.2
	- sons_of_sins 2.1.8
	- sophisticatedbackpacks 3.23.19.1251
	- sophisticatedcore 1.2.69.1005
	- soulsweapons 1.2.4-1.20.1-forge}
	- sound_physics_remastered 1.20.1-1.4.13
	- starlight 1.1.2+forge.1cda73c
	- structurize 1.20.1-1.0.768-snapshot
	- supplementaries 1.20-3.1.30
	- suppsquared 1.20-1.1.21
	- terrablender 3.0.1.10
	- the_harvest 1.0.0
	- toms_storage 1.7.1
	- towntalk 1.1.0
	- twilightforest 4.3.2508
	- undead_revamp2 1.0.0
	- universalbonemeal 8.0.1
	- untamedwilds 4.0.4
	- vampirism 1.10.13
		\-- teamlapenlib 1.10.13
	- visuality 2.0.2
	- waterdripsound 0.3.2
	- watut 1.20.1-1.2.3
	- waystones 14.1.13
	- werewolves 2.0.2.6
[06Jun2025 07:07:20.574] [main/INFO] [net.minecraftforge.coremod.CoreMod.placebo/COREMODLOG]: Patching IForgeItemStack#getEnchantmentLevel
[06Jun2025 07:07:20.586] [main/INFO] [net.minecraftforge.coremod.CoreMod.placebo/COREMODLOG]: Patching IForgeItemStack#getEnchantmentLevel
[06Jun2025 07:07:20.977] [main/INFO] [net.minecraftforge.coremod.CoreMod.apotheosis/COREMODLOG]: Replaced 2 calls to Enchantment#getMaxLevel() in net/minecraft/world/inventory/AnvilMenu
[06Jun2025 07:07:20.995] [main/WARN] [mixin/]: Error loading class: org/violetmoon/quark/content/tweaks/module/GoldToolsHaveFortuneModule (java.lang.ClassNotFoundException: org.violetmoon.quark.content.tweaks.module.GoldToolsHaveFortuneModule)
[06Jun2025 07:07:20.997] [main/INFO] [net.minecraftforge.coremod.CoreMod.placebo/COREMODLOG]: Patching IForgeItemStack#getEnchantmentLevel
